[2026-05-06T07:04:55.5862601Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:05:00.9651416Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T07:05:18.1907483Z] Email=praj@company.com, EmployeeId=7, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:05:26.9401989Z] Email=praj@company.com, EmployeeId=7, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T07:09:32.6266029Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:09:35.0501609Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T07:10:30.1416964Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:10:34.5471886Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:11:38.3216209Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T07:17:53.4121973Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T07:21:13.5694631Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T08:43:15.6063594Z] Email=rob@company.com, EmployeeId=N/A, Success=False, Message=Invalid credentials, IpAddress=::1
[2026-05-06T10:03:32.7361955Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:04:06.7413566Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:04:13.0577918Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:04:22.6158357Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:23:32.6690777Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:25:59.0446215Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:30:13.4999925Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:31:22.6188075Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:31:29.9011856Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:31:57.1145299Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:34:02.4050045Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:35:11.0330146Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:37:09.6399528Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T10:39:09.5570061Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T10:39:17.0007519Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T11:13:12.0305870Z] Email=rob@company.com, EmployeeId=2, Success=True, Message=Logout successful, IpAddress=::1
[2026-05-06T11:16:21.0653331Z] Email=admin@company.com, EmployeeId=N/A, Success=False, Message=Invalid credentials, IpAddress=::1
[2026-05-06T11:16:31.7550053Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
[2026-05-06T11:16:36.5032726Z] Email=admin@company.com, EmployeeId=1, Success=True, Message=Login successful, IpAddress=::1
